City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mehamn,NO,2022-08-29 16:45:01,71.0357,27.8492,46.31,70,75,12.66
59,Coquimbo,CL,2022-08-29 16:44:05,-29.9533,-71.3436,53.33,87,100,5.75
60,Collie,AU,2022-08-29 16:45:01,-33.3667,116.15,46.74,74,94,2.71
61,Port Elizabeth,ZA,2022-08-29 16:45:02,-33.918,25.5701,54.32,77,100,16.11
62,Punta Arenas,CL,2022-08-29 16:44:12,-53.15,-70.9167,46.51,76,75,14.97
63,Waipawa,NZ,2022-08-29 16:45:03,-41.4122,175.5153,39.88,87,43,5.08
64,Batemans Bay,AU,2022-08-29 16:45:04,-35.7167,150.1833,58.1,91,58,7.52
65,Klaksvik,FO,2022-08-29 16:45:04,62.2266,-6.589,52.72,80,79,14.07
66,Pleshanovo,RU,2022-08-29 16:45:05,52.8333,53.4833,74.66,33,90,3.58
67,Saint Anthony,US,2022-08-29 16:45:05,45.0205,-93.218,75.24,67,0,16.11
68,Victoria,HK,2022-08-29 16:40:33,22.2855,114.1577,86.32,86,16,4.0
69,Sambava,MG,2022-08-29 16:45:05,-14.2667,50.1667,70.77,89,14,4.88
70,Meulaboh,ID,2022-08-29 16:45:06,4.1363,96.1285,75.83,91,100,2.91
71,Esperance,AU,2022-08-29 16:45:06,-33.8667,121.9,47.37,80,9,7.92
72,Vangaindrano,MG,2022-08-29 16:45:07,-23.35,47.6,67.19,89,37,5.95
73,Ponta Do Sol,PT,2022-08-29 16:45:07,32.6667,-17.1,77.0,70,58,1.74
74,Beloha,MG,2022-08-29 16:45:07,-25.1667,45.05,66.15,81,31,6.46
75,Ramhormoz,IR,2022-08-29 16:45:08,31.28,49.6035,100.06,14,0,3.44
76,Lebu,CL,2022-08-29 16:45:08,-37.6167,-73.65,55.71,65,88,5.12
77,Kavieng,PG,2022-08-29 16:45:08,-2.5744,150.7967,81.91,71,72,12.93
78,Asau,RO,2022-08-29 16:45:09,46.4333,26.4,81.52,43,91,2.8
79,Fortuna,US,2022-08-29 16:45:09,40.5982,-124.1573,53.94,59,7,4.83
80,Jalu,LY,2022-08-29 16:45:10,29.0331,21.5482,94.87,24,3,12.19
81,Smithers,CA,2022-08-29 16:45:10,54.7804,-127.1743,57.52,88,75,3.44
82,Misratah,LY,2022-08-29 16:45:10,32.3754,15.0925,85.5,63,0,16.64
83,Imeni Poliny Osipenko,RU,2022-08-29 16:45:11,52.4201,136.4853,50.85,98,14,5.28
84,Ketchikan,US,2022-08-29 16:45:11,55.3422,-131.6461,57.67,100,100,9.22
85,Te Anau,NZ,2022-08-29 16:45:11,-45.4167,167.7167,43.09,92,83,2.66
86,Rupert,US,2022-08-29 16:40:21,42.6191,-113.6772,70.18,45,0,0.0
87,Tuktoyaktuk,CA,2022-08-29 16:45:12,69.4541,-133.0374,44.6,93,100,6.91
88,Vostok,RU,2022-08-29 16:45:12,46.4856,135.8833,50.86,97,100,3.15
89,Georgetown,MY,2022-08-29 16:44:57,5.4112,100.3354,80.53,90,40,7.0
90,Whitehorse,CA,2022-08-29 16:40:43,60.7161,-135.0538,51.82,85,75,2.3
91,Turukhansk,RU,2022-08-29 16:46:13,65.8167,87.9833,36.16,86,82,8.39
92,Chokurdakh,RU,2022-08-29 16:46:13,70.6333,147.9167,34.56,96,40,8.66
93,Lorengau,PG,2022-08-29 16:46:13,-2.0226,147.2712,80.71,82,71,10.2
94,Castro,BR,2022-08-29 16:46:14,-24.7911,-50.0119,58.26,54,79,10.11
95,Cape Town,ZA,2022-08-29 16:43:38,-33.9258,18.4232,57.27,54,20,23.02
96,East London,ZA,2022-08-29 16:42:21,-33.0153,27.9116,54.54,94,100,19.57
97,Atambua,ID,2022-08-29 16:46:14,-9.1061,124.8925,71.29,88,42,5.66
98,Agadez,NE,2022-08-29 16:46:15,19.75,10.25,97.9,22,79,2.91
99,Hobart,AU,2022-08-29 16:45:11,-42.8794,147.3294,51.26,89,86,4.61
100,Launceston,AU,2022-08-29 16:46:15,-41.45,147.1667,52.16,93,100,6.91
101,Salalah,OM,2022-08-29 16:46:15,17.0151,54.0924,77.09,94,75,5.75
102,Khatanga,RU,2022-08-29 16:46:16,71.9667,102.5,39.9,94,100,18.72
103,Saint-Pierre,RE,2022-08-29 16:46:16,-21.3393,55.4781,73.08,84,75,3.44
104,Vaini,TO,2022-08-29 16:46:16,-21.2,-175.2,68.16,100,20,3.44
105,Norman Wells,CA,2022-08-29 16:46:17,65.282,-126.8329,53.64,94,75,2.3
106,Margate,GB,2022-08-29 16:46:17,51.3813,1.3862,69.31,69,12,8.01
107,Salinopolis,BR,2022-08-29 16:46:17,-0.6136,-47.3561,85.62,66,91,12.26
108,Caiaponia,BR,2022-08-29 16:46:18,-16.9567,-51.8103,93.22,16,6,12.17
109,Husavik,IS,2022-08-29 16:46:18,66.0449,-17.3389,61.3,59,91,4.07
110,Adrar,MR,2022-08-29 16:46:18,20.5022,-10.0711,96.39,31,58,14.41
111,Tuatapere,NZ,2022-08-29 16:46:19,-46.1333,167.6833,42.01,93,53,3.4
112,Sao Filipe,CV,2022-08-29 16:46:19,14.8961,-24.4956,77.52,81,100,11.81
113,Zilupe,LV,2022-08-29 16:46:19,56.3862,28.1217,70.5,61,95,3.65
114,Jamkhed,IN,2022-08-29 16:46:20,18.7362,75.3121,79.86,68,100,11.27
115,Birao,CF,2022-08-29 16:46:20,10.2849,22.7882,71.44,95,91,4.45
116,Pachino,IT,2022-08-29 16:46:20,36.7186,15.0907,81.63,68,21,6.76
117,Banfora,BF,2022-08-29 16:46:21,10.6333,-4.7667,78.84,82,75,4.09
118,Provideniya,RU,2022-08-29 16:46:21,64.3833,-173.3,48.09,90,100,6.33
119,Novobirilyussy,RU,2022-08-29 16:46:21,56.9514,90.6661,39.54,95,18,2.57
120,Puerto Escondido,MX,2022-08-29 16:46:21,15.85,-97.0667,86.07,63,83,7.61
121,Maltahohe,NA,2022-08-29 16:46:22,-24.8333,16.9833,70.63,13,0,12.86
122,Hilo,US,2022-08-29 16:42:36,19.7297,-155.09,79.29,77,0,8.05
123,Kemijarvi,FI,2022-08-29 16:46:22,66.7131,27.4306,48.97,63,61,6.06
124,Lianran,CN,2022-08-29 16:46:23,24.9227,102.485,66.74,94,84,2.66
125,Bafilo,TG,2022-08-29 16:46:23,9.35,1.2667,73.36,90,96,4.92
126,Rapid City,US,2022-08-29 16:42:50,44.0805,-103.231,79.47,33,0,10.36
127,Lander,US,2022-08-29 16:41:46,42.833,-108.7307,75.79,36,0,8.05
128,Auki,SB,2022-08-29 16:46:23,-8.7676,160.7034,75.83,90,31,4.63
129,Aykhal,RU,2022-08-29 16:46:24,66.0,111.5,38.57,94,99,16.26
130,Balsas,BR,2022-08-29 16:46:24,-7.5325,-46.0356,99.0,17,16,5.73
131,Atar,MR,2022-08-29 16:46:25,20.5169,-13.0499,101.61,27,39,12.93
132,Nome,US,2022-08-29 16:46:25,64.5011,-165.4064,33.87,86,0,4.61
133,Sisimiut,GL,2022-08-29 16:46:25,66.9395,-53.6735,47.75,65,100,14.03
134,Kajaani,FI,2022-08-29 16:46:25,64.2273,27.7285,60.85,55,0,9.22
135,Cidreira,BR,2022-08-29 16:46:26,-30.1811,-50.2056,55.11,56,92,9.26
136,Makakilo City,US,2022-08-29 16:46:26,21.3469,-158.0858,75.52,78,0,5.75
137,Islahiye,TR,2022-08-29 16:46:26,37.025,36.6306,83.91,24,0,5.88
138,Khomeyn,IR,2022-08-29 16:46:27,33.6423,50.0789,73.22,13,0,7.11
139,Sosnovo-Ozerskoye,RU,2022-08-29 16:46:27,52.5249,111.5418,35.26,74,18,5.84
140,Pangai,TO,2022-08-29 16:47:27,-19.8,-174.35,75.34,74,77,11.16
141,Iqaluit,CA,2022-08-29 16:47:28,63.7506,-68.5145,42.53,86,75,4.61
142,Yakima,US,2022-08-29 16:46:40,46.4665,-120.6678,74.17,54,0,5.75
143,Omboue,GA,2022-08-29 16:47:28,-1.5746,9.2618,76.24,78,82,7.92
144,Green Valley,US,2022-08-29 16:47:28,31.8543,-110.9937,89.19,57,0,7.2
145,Faanui,PF,2022-08-29 16:47:29,-16.4833,-151.75,78.66,68,68,12.35
146,Yulara,AU,2022-08-29 16:47:29,-25.2406,130.9889,51.37,40,0,10.09
147,Sirjan,IR,2022-08-29 16:47:30,29.452,55.6814,75.54,7,0,12.62
148,Siocon,PH,2022-08-29 16:47:30,7.7061,122.1353,76.87,92,100,4.07
149,Kautokeino,NO,2022-08-29 16:47:30,69.0125,23.0412,45.32,69,90,12.86
150,Katsuura,JP,2022-08-29 16:47:31,35.1333,140.3,73.0,92,98,14.5
151,Pacific Grove,US,2022-08-29 16:46:58,36.6177,-121.9166,62.02,87,100,5.99
152,Dikson,RU,2022-08-29 16:47:31,73.5069,80.5464,39.81,90,100,3.69
153,Zaraza,VE,2022-08-29 16:47:32,9.3503,-65.3245,87.64,67,11,4.45
154,Constitucion,CL,2022-08-29 16:47:32,-35.3333,-72.4167,61.54,64,19,8.08
155,Curitibanos,BR,2022-08-29 16:47:33,-27.2828,-50.5844,58.78,34,63,3.71
156,Apomu,NG,2022-08-29 16:47:33,7.3333,4.1833,75.33,91,94,1.34
157,Tari,NG,2022-08-29 16:47:33,12.4086,4.4914,83.77,68,100,3.24
158,Hervey Bay,AU,2022-08-29 16:47:34,-25.2986,152.8535,64.94,76,100,8.72
159,Saldanha,ZA,2022-08-29 16:47:34,-33.0117,17.9442,60.85,60,1,25.03
160,Hithadhoo,MV,2022-08-29 16:47:34,-0.6,73.0833,80.73,75,96,17.25
161,Komsomolskiy,UZ,2022-08-29 16:47:35,40.4272,71.7189,77.72,29,46,4.61
162,Tommot,RU,2022-08-29 16:47:35,58.9564,126.2925,45.73,98,100,3.96
163,New Norfolk,AU,2022-08-29 16:47:35,-42.7826,147.0587,50.9,65,90,1.43
164,Cabo San Lucas,MX,2022-08-29 16:46:55,22.8909,-109.9124,90.61,58,40,4.61
165,Sao Joao Da Barra,BR,2022-08-29 16:47:36,-21.6403,-41.0511,71.69,74,93,22.73
166,Cockburn Town,TC,2022-08-29 16:47:36,21.4612,-71.1419,84.16,70,40,11.5
167,Ribeira Grande,PT,2022-08-29 16:47:37,38.5167,-28.7,81.0,78,20,11.5
168,Chifeng,CN,2022-08-29 16:47:37,42.2683,118.9636,59.0,70,53,2.33
169,Bensonville,LR,2022-08-29 16:47:37,6.4461,-10.6125,79.86,70,74,9.13
170,Saint George,US,2022-08-29 16:47:05,37.1041,-113.5841,90.43,29,0,3.44
171,Leningradskiy,RU,2022-08-29 16:47:37,69.3833,178.4167,34.5,94,91,2.01
172,General Roca,AR,2022-08-29 16:47:38,-39.0333,-67.5833,71.62,12,50,21.77
173,Souillac,MU,2022-08-29 16:47:38,-20.5167,57.5167,68.38,88,40,4.61
174,Hohhot,CN,2022-08-29 16:47:38,40.8106,111.6522,53.89,94,32,4.47
175,Porto Santo,PT,2022-08-29 16:47:39,33.072,-16.3415,73.78,64,40,6.91
176,Hailar,CN,2022-08-29 16:47:39,49.2,119.7,50.72,87,77,6.44
177,Mutoko,ZW,2022-08-29 16:47:39,-17.397,32.2268,64.99,34,0,5.5
178,Marzuq,YE,2022-08-29 16:47:40,14.4,46.4667,82.11,51,29,9.24
179,Mendi,PG,2022-08-29 16:47:40,-6.1761,143.6513,56.48,98,100,3.33
180,Tiznit,MA,2022-08-29 16:47:40,29.5833,-9.5,78.37,52,45,11.81
181,Jinchang,CN,2022-08-29 16:47:41,38.4953,102.1739,64.36,53,99,4.54
182,Qaanaaq,GL,2022-08-29 16:47:41,77.484,-69.3632,32.36,62,6,3.85
183,Harper,LR,2022-08-29 16:47:42,4.375,-7.7169,78.51,75,71,11.07
184,Akcakoca,TR,2022-08-29 16:47:42,41.0866,31.1162,75.29,84,0,8.25
185,Labrea,BR,2022-08-29 16:47:42,-7.2586,-64.7981,97.79,31,86,5.73
186,Ada,US,2022-08-29 16:47:42,43.4166,-116.1262,75.97,28,0,9.22
187,Novoselitskoye,RU,2022-08-29 16:48:43,44.7508,43.4369,79.2,46,97,14.88
188,Vasteras,SE,2022-08-29 16:48:43,59.6162,16.5528,60.85,53,100,16.11
189,Lumeje,AO,2022-08-29 16:48:44,-11.55,20.7833,81.19,18,16,6.24
190,Mednogorsk,RU,2022-08-29 16:48:44,51.4128,57.595,72.84,33,68,2.91
191,Alofi,NU,2022-08-29 16:46:29,-19.0595,-169.9187,64.29,94,75,1.14
192,Puerto Leguizamo,CO,2022-08-29 16:48:44,-0.1934,-74.7819,71.24,99,97,3.44
193,Cascas,PE,2022-08-29 16:48:45,-7.4833,-78.8167,76.5,44,34,11.65
194,Rockport,US,2022-08-29 16:46:45,28.0206,-97.0544,87.85,86,100,9.22
195,Tambacounda,SN,2022-08-29 16:48:45,13.7539,-13.7586,83.75,68,84,11.81
196,Yangambi,CD,2022-08-29 16:48:45,0.8102,24.4336,71.53,94,95,0.89
197,Quesnel,CA,2022-08-29 16:48:45,52.9999,-122.5029,61.3,88,100,8.05
198,Broken Hill,AU,2022-08-29 16:48:46,-31.95,141.4333,47.44,74,0,10.78
199,Colac,AU,2022-08-29 16:48:46,-38.3333,143.5833,50.16,97,91,6.11
200,Prainha,BR,2022-08-29 16:48:46,-1.8,-53.48,96.08,34,62,3.49
201,Pendleton,US,2022-08-29 16:44:47,45.6721,-118.7886,80.56,36,0,6.91
202,Lompoc,US,2022-08-29 16:48:47,34.6391,-120.4579,69.62,93,40,2.3
203,Bonavista,CA,2022-08-29 16:48:47,48.6499,-53.1147,69.66,61,64,12.41
204,Paragominas,BR,2022-08-29 16:48:47,-2.9667,-47.4833,98.53,22,68,6.46
205,Tautira,PF,2022-08-29 16:48:48,-17.7333,-149.15,77.27,75,35,10.85
206,Polahongon,PH,2022-08-29 16:48:48,10.5288,124.9694,75.56,97,98,1.52
207,Ilulissat,GL,2022-08-29 16:48:48,69.2167,-51.1,50.02,71,75,14.97
208,Merauke,ID,2022-08-29 16:48:49,-8.4667,140.3333,77.29,90,47,10.09
209,The Valley,AI,2022-08-29 16:48:49,18.217,-63.0578,88.11,79,20,13.8
210,High Level,CA,2022-08-29 16:45:04,58.5169,-117.136,53.71,94,40,0.0
211,Vsetaty,CZ,2022-08-29 16:48:49,50.2819,14.593,75.79,52,0,5.75
212,Kuandian,CN,2022-08-29 16:48:50,40.7286,124.7847,57.47,94,100,1.34
213,Longyearbyen,SJ,2022-08-29 16:48:50,78.2186,15.6401,40.84,65,75,5.75
214,Camacha,PT,2022-08-29 16:48:50,33.0833,-16.3333,71.02,64,40,6.91
215,Vao,NC,2022-08-29 16:48:51,-22.6667,167.4833,68.4,60,62,18.05
216,Hualmay,PE,2022-08-29 16:48:51,-11.0964,-77.6139,66.74,67,41,10.02
217,Hays,US,2022-08-29 16:48:51,30.0502,-98.0336,91.31,62,32,6.91
218,Koslan,RU,2022-08-29 16:48:51,63.4564,48.8989,61.45,95,99,8.21
219,Grindavik,IS,2022-08-29 16:48:52,63.8424,-22.4338,57.67,88,75,34.52
220,Caravelas,BR,2022-08-29 16:48:52,-17.7125,-39.2481,74.89,74,39,9.22
221,Beringovskiy,RU,2022-08-29 16:48:52,63.05,179.3167,49.66,98,100,13.44
222,Ushtobe,KZ,2022-08-29 16:48:53,45.2514,77.9838,63.57,26,56,3.11
223,Ambovombe,MG,2022-08-29 16:48:53,-25.1667,46.0833,69.21,79,41,7.92
224,Dinar,TR,2022-08-29 16:48:53,38.065,30.1656,85.96,21,0,7.65
225,Pemangkat,ID,2022-08-29 16:48:54,1.1667,108.9667,80.02,81,100,6.82
226,Yanam,IN,2022-08-29 16:48:54,16.7333,82.2167,79.5,90,75,3.4
227,Berlin,DE,2022-08-29 16:45:50,52.5244,13.4105,74.01,71,20,8.05
228,Albury,AU,2022-08-29 16:48:54,-36.0833,146.9167,57.33,100,94,10.0
229,Nouadhibou,MR,2022-08-29 16:48:55,20.931,-17.0347,80.58,65,1,20.71
230,Nemuro,JP,2022-08-29 16:48:55,43.3236,145.575,65.14,84,100,6.8
231,Pisco,PE,2022-08-29 16:44:43,-13.7,-76.2167,61.02,82,100,4.61
232,Plettenberg Bay,ZA,2022-08-29 16:48:55,-34.0527,23.3716,54.66,58,99,13.29
233,Inhambane,MZ,2022-08-29 16:48:56,-23.865,35.3833,73.38,94,0,9.22
234,Arraial Do Cabo,BR,2022-08-29 16:49:56,-22.9661,-42.0278,67.96,68,100,18.41
235,Barrow,US,2022-08-29 16:49:56,71.2906,-156.7887,39.22,93,100,8.05
236,Mandera,KE,2022-08-29 16:49:57,3.9366,41.867,87.96,33,60,8.34
237,Mporokoso,ZM,2022-08-29 16:49:57,-9.3727,30.125,73.09,32,87,2.95
238,Kaitangata,NZ,2022-08-29 16:49:57,-46.2817,169.8464,39.63,93,15,5.12
239,Los Llanos De Aridane,ES,2022-08-29 16:49:57,28.6585,-17.9182,71.35,77,75,8.05
240,Ust-Kan,RU,2022-08-29 16:49:58,50.9276,84.761,46.22,79,1,1.77
241,Quelimane,MZ,2022-08-29 16:49:58,-17.8786,36.8883,75.15,83,0,11.5
242,Heihe,CN,2022-08-29 16:49:58,50.2441,127.4902,59.58,86,94,6.67
243,Airai,TL,2022-08-29 16:49:59,-8.9266,125.4092,57.38,92,32,3.02
244,Glenwood Springs,US,2022-08-29 16:49:59,39.5505,-107.3248,79.34,44,0,1.01
245,Jamestown,US,2022-08-29 16:49:59,42.097,-79.2353,87.94,56,40,11.5
246,Marquette,US,2022-08-29 16:49:59,46.5333,-87.6335,79.83,72,72,11.59
247,Ocos,GT,2022-08-29 16:50:00,14.5094,-92.1933,83.03,72,91,4.85
248,Gorontalo,ID,2022-08-29 16:50:00,0.5412,123.0595,75.49,95,100,1.1
249,Capreol,CA,2022-08-29 16:50:01,46.706,-80.9225,73.54,94,100,10.36
250,Varca,IN,2022-08-29 16:50:01,15.2167,73.9167,78.8,94,75,9.22
251,Grand Gaube,MU,2022-08-29 16:50:01,-20.0064,57.6608,68.4,78,93,1.99
252,Ostersund,SE,2022-08-29 16:50:02,63.1792,14.6357,54.61,66,100,6.91
253,Clyde River,CA,2022-08-29 16:50:02,70.4692,-68.5914,37.63,100,100,6.91
254,Comodoro Rivadavia,AR,2022-08-29 16:48:54,-45.8667,-67.5,64.26,16,0,8.05
255,Ardmore,US,2022-08-29 16:50:03,34.1743,-97.1436,86.86,68,40,11.5
256,Khani,GE,2022-08-29 16:50:03,41.9563,42.9566,71.17,92,11,2.89
257,Nanortalik,GL,2022-08-29 16:50:04,60.1432,-45.2371,40.12,94,94,12.28
258,Olafsvik,IS,2022-08-29 16:50:04,64.8945,-23.7142,54.64,89,100,22.93
259,Nalut,LY,2022-08-29 16:50:04,30.3333,10.85,100.58,11,1,10.78
260,Fairbanks,US,2022-08-29 16:45:22,64.8378,-147.7164,50.81,94,100,4.61
261,Chuy,UY,2022-08-29 16:50:05,-33.6971,-53.4616,53.58,56,5,7.27
262,Coihaique,CL,2022-08-29 16:50:05,-45.5752,-72.0662,48.81,61,0,8.05
263,Tshikapa,CD,2022-08-29 16:50:06,-6.4167,20.8,73.89,85,100,5.17
264,Bagdarin,RU,2022-08-29 16:50:06,54.4333,113.6,35.33,66,17,3.56
265,Chenove,FR,2022-08-29 16:50:06,47.2932,5.0046,86.95,32,0,6.91
266,Lakes Entrance,AU,2022-08-29 16:50:07,-37.8811,147.981,51.17,90,78,5.46
267,Padang,ID,2022-08-29 16:50:07,-0.9492,100.3543,75.36,96,100,7.36
268,Krasnyy Kut,RU,2022-08-29 16:50:07,50.95,46.9667,84.02,20,100,7.23
269,Talnakh,RU,2022-08-29 16:50:08,69.4865,88.3972,36.21,87,62,6.06
270,Kuryk,KZ,2022-08-29 16:50:08,43.2,51.65,83.7,26,0,1.61
271,Lasa,IT,2022-08-29 16:50:08,46.6166,10.7002,83.28,68,29,1.86
272,Luanda,AO,2022-08-29 16:48:36,-8.8368,13.2343,77.0,65,0,8.05
273,Yertarskiy,RU,2022-08-29 16:50:09,56.7902,64.2995,65.34,65,45,5.06
274,College,US,2022-08-29 16:50:09,64.8569,-147.8028,49.8,94,75,4.61
275,Sorong,ID,2022-08-29 16:50:10,-0.8833,131.25,78.46,84,100,3.76
276,San Juan,AR,2022-08-29 16:49:51,-31.5375,-68.5364,69.94,14,0,10.83
277,Kahului,US,2022-08-29 16:50:10,20.8947,-156.47,78.84,78,0,5.01
278,Narsaq,GL,2022-08-29 16:50:10,60.9167,-46.05,42.78,86,100,5.1
279,Eldorado,BR,2022-08-29 16:50:11,-23.7869,-54.2836,72.79,53,78,5.88
280,Chimbote,PE,2022-08-29 16:51:11,-9.0853,-78.5783,67.91,68,39,10.25
281,Mirebalais,HT,2022-08-29 16:51:11,18.8333,-72.1053,88.52,45,100,0.74
282,San Policarpo,PH,2022-08-29 16:51:12,12.1791,125.5072,81.59,79,98,1.97
283,Manjacaze,MZ,2022-08-29 16:51:12,-24.7117,33.8828,70.79,58,0,7.0
284,Collipulli,CL,2022-08-29 16:51:12,-37.95,-72.4333,63.77,40,68,2.98
285,Vilhena,BR,2022-08-29 16:50:18,-12.7406,-60.1458,84.42,45,13,14.97
286,Swan Hill,AU,2022-08-29 16:51:13,-35.3378,143.5544,44.17,94,19,10.94
287,Palana,RU,2022-08-29 16:51:13,59.1167,159.9667,45.55,98,100,19.44
288,Prince Rupert,CA,2022-08-29 16:51:13,54.3161,-130.3201,60.89,96,100,28.77
289,Buraydah,SA,2022-08-29 16:51:13,26.326,43.975,100.85,8,2,9.89
290,Sao Miguel Do Araguaia,BR,2022-08-29 16:51:14,-13.275,-50.1628,98.2,14,52,8.66
291,Bengkulu,ID,2022-08-29 16:48:55,-3.8004,102.2655,74.82,95,100,8.08
292,Ratnagiri,IN,2022-08-29 16:51:14,16.9833,73.3,79.88,84,99,7.56
