City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vidim,RU,56.4088,103.1106,36.64,87,81,11.05,broken clouds
80,Mahebourg,MU,-20.4081,57.7,68.29,88,40,0.0,scattered clouds
81,Talnakh,RU,69.4865,88.3972,40.21,94,18,4.7,few clouds
82,Fethiye,TR,36.6217,29.1164,75.07,71,3,2.1,clear sky
83,Bluff,NZ,-46.6,168.3333,41.81,84,92,7.74,overcast clouds
84,Poum,NC,-20.2333,164.0167,71.67,70,47,10.63,scattered clouds
85,Saldanha,ZA,-33.0117,17.9442,50.05,58,0,23.2,clear sky
86,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,48,6.49,light rain
87,Grand-Santi,GF,4.25,-54.3833,84.85,72,10,0.72,clear sky
88,Catarman,PH,12.4989,124.6377,76.06,92,97,3.94,overcast clouds
89,Dikson,RU,73.5069,80.5464,39.88,93,100,2.55,light rain
90,Okha,RU,53.5739,142.9478,54.03,88,0,7.61,clear sky
91,Noumea,NC,-22.2763,166.4572,69.01,99,60,12.46,broken clouds
92,Hithadhoo,MV,-0.6,73.0833,80.29,77,96,16.91,overcast clouds
93,Meulaboh,ID,4.1363,96.1285,75.11,92,100,2.95,light rain
94,San Policarpo,PH,12.1791,125.5072,78.64,87,100,2.33,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,1.14,broken clouds
96,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,77,75,17.27,broken clouds
97,Abu Samrah,SY,35.3029,37.1841,86.94,27,4,6.04,clear sky
98,Ribeira Grande,PT,38.5167,-28.7,77.4,83,40,5.75,scattered clouds
99,Nsanje,MW,-16.92,35.262,72.75,52,0,4.65,clear sky
100,Novyy Urengoy,RU,66.0833,76.6333,43.83,84,100,14.52,light rain
101,Nome,US,64.5011,-165.4064,45.16,76,100,3.44,overcast clouds
102,Hobart,AU,-42.8794,147.3294,51.26,92,75,3.44,broken clouds
103,Kuala Terengganu,MY,5.3302,103.1408,78.75,94,20,3.44,few clouds
104,Ilulissat,GL,69.2167,-51.1,57.22,41,75,17.27,broken clouds
105,Khatanga,RU,71.9667,102.5,40.64,96,100,13.76,overcast clouds
106,Hilo,US,19.7297,-155.09,88.29,71,75,9.22,broken clouds
107,Mudigere,IN,13.1333,75.6333,68.02,97,100,0.89,moderate rain
108,Wyndham,US,37.6985,-77.6125,94.21,50,0,6.91,clear sky
109,Hue,VN,16.4667,107.6,80.71,89,20,3.44,few clouds
110,Bud,US,39.447,-86.1758,89.92,70,100,11.59,overcast clouds
111,Mecca,SA,21.4267,39.8261,90.28,41,26,4.43,scattered clouds
112,Tiznit,MA,29.5833,-9.5,79.14,48,100,7.9,overcast clouds
113,Spassk,RU,52.747,87.7545,47.95,86,4,3.15,clear sky
114,Ketchikan,US,55.3422,-131.6461,61.27,94,100,8.05,overcast clouds
115,San Quintin,MX,30.4833,-115.95,74.52,71,5,15.59,clear sky
116,Qaanaaq,GL,77.484,-69.3632,32.18,64,0,2.3,clear sky
117,Jamestown,US,42.097,-79.2353,71.24,88,100,9.22,overcast clouds
118,Necochea,AR,-38.5473,-58.7368,53.67,52,0,10.38,clear sky
119,Port Alfred,ZA,-33.5906,26.891,56.17,59,70,7.0,broken clouds
120,Antofagasta,CL,-23.65,-70.4,58.28,74,21,6.76,few clouds
121,Nikolskoye,RU,59.7035,30.7861,62.49,86,93,9.55,overcast clouds
122,Norman Wells,CA,65.282,-126.8329,59.04,77,75,9.22,broken clouds
123,Ugoofaaru,MV,5.6667,73.0,81.18,82,100,18.39,overcast clouds
124,Nishihara,JP,26.1842,127.7558,82.45,86,20,5.75,few clouds
125,Naryan-Mar,RU,67.6713,53.087,48.67,86,72,8.57,broken clouds
126,Sao Mateus Do Sul,BR,-25.8742,-50.3828,52.36,63,99,5.32,overcast clouds
127,Kalemie,CD,-5.9475,29.1947,74.19,59,69,3.83,broken clouds
128,Chicama,PE,-7.8447,-79.1469,63.14,62,37,9.48,scattered clouds
129,Zheleznodorozhnyy,RU,55.7503,38.0042,68.43,73,2,4.99,clear sky
130,Kramat,ID,-8.1311,113.4499,72.05,96,97,1.39,light rain
131,Avdiyivka,UA,48.1399,37.7426,75.24,35,0,4.54,clear sky
132,Santa Barbara,US,34.7333,-120.0343,79.99,42,0,6.91,clear sky
133,Karaton,ID,-6.3424,106.1045,71.06,94,80,2.48,broken clouds
134,Sorland,NO,67.667,12.6934,51.66,74,98,10.16,overcast clouds
135,Xining,CN,36.6167,101.7667,49.62,89,99,2.35,overcast clouds
136,Port Macquarie,AU,-31.4333,152.9167,55.89,81,100,11.74,overcast clouds
